2025-09-04 16:51:32 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed stacp: 3 records
2025-09-04 16:51:32 EST | INFO     | main_processor | main_processor.py:90 | Processing patrol...
2025-09-04 16:51:32 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed patrol: 3 records
2025-09-04 16:51:32 EST | INFO     | main_processor | main_processor.py:90 | Processing csb...
2025-09-04 16:51:32 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed csb: 3 records
2025-09-04 16:51:32 EST | INFO     | main_processor | logger_setup.py:141 | Operation process_all_sources completed successfully - sources_processed=4
2025-09-04 16:51:32 EST | INFO     | main_processor | logger_setup.py:126 | Starting combine_data with sources=4
2025-09-04 16:51:32 EST | INFO     | main_processor | logger_setup.py:141 | Operation combine_data completed successfully - total_records=12
2025-09-04 17:22:09 EST | INFO     | main_processor | logger_setup.py:94 | Logger 'main_processor' initialized - Log file: C:\Users\carucci_r\OneDrive - City of Hackensack\02_ETL_Scripts\Community_Engagment\logs\main_processor.log
2025-09-04 17:22:09 EST | INFO     | main_processor | logger_setup.py:95 | Log rotation: 10,485,760 bytes, 5 backups
2025-09-04 17:22:09 EST | INFO     | main_processor | logger_setup.py:126 | Starting process_all_sources with sources=1
2025-09-04 17:22:09 EST | INFO     | main_processor | main_processor.py:90 | Processing community_engagement...
2025-09-04 17:22:10 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed community_engagement: 100 records
2025-09-04 17:22:10 EST | INFO     | main_processor | logger_setup.py:141 | Operation process_all_sources completed successfully - sources_processed=1
2025-09-04 17:22:10 EST | INFO     | main_processor | logger_setup.py:126 | Starting combine_data with sources=1
2025-09-04 17:22:10 EST | INFO     | main_processor | logger_setup.py:141 | Operation combine_data completed successfully - total_records=100
2025-09-04 17:23:01 EST | INFO     | main_processor | logger_setup.py:94 | Logger 'main_processor' initialized - Log file: C:\Users\carucci_r\OneDrive - City of Hackensack\02_ETL_Scripts\Community_Engagment\logs\main_processor.log
2025-09-04 17:23:01 EST | INFO     | main_processor | logger_setup.py:95 | Log rotation: 10,485,760 bytes, 5 backups
2025-09-04 17:23:01 EST | INFO     | main_processor | logger_setup.py:126 | Starting process_all_sources with sources=4
2025-09-04 17:23:01 EST | INFO     | main_processor | main_processor.py:90 | Processing community_engagement...
2025-09-04 17:23:01 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed community_engagement: 100 records
2025-09-04 17:23:01 EST | INFO     | main_processor | main_processor.py:90 | Processing stacp...
2025-09-04 17:23:01 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed stacp: 245 records
2025-09-04 17:23:01 EST | INFO     | main_processor | main_processor.py:90 | Processing patrol...
2025-09-04 17:23:01 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed patrol: 74 records
2025-09-04 17:23:01 EST | INFO     | main_processor | main_processor.py:90 | Processing csb...
2025-09-04 17:23:02 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed csb: 22 records
2025-09-04 17:23:02 EST | INFO     | main_processor | logger_setup.py:141 | Operation process_all_sources completed successfully - sources_processed=4
2025-09-04 17:23:02 EST | INFO     | main_processor | logger_setup.py:126 | Starting combine_data with sources=4
2025-09-04 17:23:02 EST | INFO     | main_processor | logger_setup.py:141 | Operation combine_data completed successfully - total_records=441
2025-09-04 17:23:02 EST | INFO     | main_processor | logger_setup.py:126 | Starting export_data with formats=['csv']
2025-09-04 17:23:02 EST | INFO     | main_processor | logger_setup.py:141 | Operation export_data completed successfully - files_exported=1
2025-09-04 18:04:22 EST | INFO     | main_processor | logger_setup.py:94 | Logger 'main_processor' initialized - Log file: C:\Users\carucci_r\OneDrive - City of Hackensack\02_ETL_Scripts\Community_Engagment\logs\main_processor.log
2025-09-04 18:04:22 EST | INFO     | main_processor | logger_setup.py:95 | Log rotation: 10,485,760 bytes, 5 backups
2025-09-04 18:04:22 EST | INFO     | main_processor | logger_setup.py:126 | Starting process_all_sources with sources=4
2025-09-04 18:04:22 EST | INFO     | main_processor | main_processor.py:90 | Processing community_engagement...
2025-09-04 18:04:22 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed community_engagement: 100 records
2025-09-04 18:04:22 EST | INFO     | main_processor | main_processor.py:90 | Processing stacp...
2025-09-04 18:04:23 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed stacp: 245 records
2025-09-04 18:04:23 EST | INFO     | main_processor | main_processor.py:90 | Processing patrol...
2025-09-04 18:04:23 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed patrol: 74 records
2025-09-04 18:04:23 EST | INFO     | main_processor | main_processor.py:90 | Processing csb...
2025-09-04 18:04:23 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed csb: 22 records
2025-09-04 18:04:23 EST | INFO     | main_processor | logger_setup.py:141 | Operation process_all_sources completed successfully - sources_processed=4
2025-09-04 18:04:23 EST | INFO     | main_processor | logger_setup.py:126 | Starting combine_data with sources=4
2025-09-04 18:04:23 EST | INFO     | main_processor | logger_setup.py:141 | Operation combine_data completed successfully - total_records=441
2025-09-04 18:04:23 EST | INFO     | main_processor | logger_setup.py:126 | Starting generate_reports
2025-09-04 18:04:23 EST | INFO     | main_processor | logger_setup.py:141 | Operation generate_reports completed successfully - reports_generated=2
2025-09-04 18:04:23 EST | INFO     | main_processor | logger_setup.py:126 | Starting export_data with formats=['csv', 'excel']
2025-09-04 18:04:23 EST | INFO     | main_processor | logger_setup.py:141 | Operation export_data completed successfully - files_exported=2
2025-09-04 18:04:23 EST | INFO     | main_processor | main_processor.py:316 | Processing completed successfully
2025-09-04 18:11:59 EST | INFO     | main_processor | logger_setup.py:94 | Logger 'main_processor' initialized - Log file: C:\Users\carucci_r\OneDrive - City of Hackensack\02_ETL_Scripts\Community_Engagment\logs\main_processor.log
2025-09-04 18:11:59 EST | INFO     | main_processor | logger_setup.py:95 | Log rotation: 10,485,760 bytes, 5 backups
2025-09-04 18:11:59 EST | INFO     | main_processor | logger_setup.py:126 | Starting process_all_sources with sources=4
2025-09-04 18:11:59 EST | INFO     | main_processor | main_processor.py:90 | Processing community_engagement...
2025-09-04 18:11:59 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed community_engagement: 100 records
2025-09-04 18:11:59 EST | INFO     | main_processor | main_processor.py:90 | Processing stacp...
2025-09-04 18:12:00 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed stacp: 245 records
2025-09-04 18:12:00 EST | INFO     | main_processor | main_processor.py:90 | Processing patrol...
2025-09-04 18:12:00 EST | ERROR    | main_processor | main_processor.py:120 | Failed to process patrol: Failed to read Excel source: File is locked or permission denied: C:\Users\carucci_r\OneDrive - City of Hackensack\Shared Folder\Compstat\Contributions\Patrol\patrol_monthly.xlsm
2025-09-04 18:12:00 EST | INFO     | main_processor | main_processor.py:90 | Processing csb...
2025-09-04 18:12:00 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed csb: 22 records
2025-09-04 18:12:00 EST | INFO     | main_processor | logger_setup.py:141 | Operation process_all_sources completed successfully - sources_processed=3
2025-09-04 18:12:00 EST | INFO     | main_processor | logger_setup.py:126 | Starting combine_data with sources=3
2025-09-04 18:12:00 EST | INFO     | main_processor | logger_setup.py:141 | Operation combine_data completed successfully - total_records=367
2025-09-04 18:12:00 EST | INFO     | main_processor | logger_setup.py:126 | Starting generate_reports
2025-09-04 18:12:00 EST | INFO     | main_processor | logger_setup.py:141 | Operation generate_reports completed successfully - reports_generated=2
2025-09-04 18:12:00 EST | INFO     | main_processor | logger_setup.py:126 | Starting export_data with formats=['csv', 'excel']
2025-09-04 18:12:00 EST | INFO     | main_processor | logger_setup.py:141 | Operation export_data completed successfully - files_exported=2
2025-09-04 18:12:00 EST | INFO     | main_processor | main_processor.py:316 | Processing completed successfully
2025-09-04 18:12:28 EST | INFO     | main_processor | logger_setup.py:94 | Logger 'main_processor' initialized - Log file: C:\Users\carucci_r\OneDrive - City of Hackensack\02_ETL_Scripts\Community_Engagment\logs\main_processor.log
2025-09-04 18:12:28 EST | INFO     | main_processor | logger_setup.py:95 | Log rotation: 10,485,760 bytes, 5 backups
2025-09-04 18:12:28 EST | INFO     | main_processor | logger_setup.py:126 | Starting process_all_sources with sources=4
2025-09-04 18:12:28 EST | INFO     | main_processor | main_processor.py:90 | Processing community_engagement...
2025-09-04 18:12:28 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed community_engagement: 100 records
2025-09-04 18:12:28 EST | INFO     | main_processor | main_processor.py:90 | Processing stacp...
2025-09-04 18:12:29 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed stacp: 245 records
2025-09-04 18:12:29 EST | INFO     | main_processor | main_processor.py:90 | Processing patrol...
2025-09-04 18:12:29 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed patrol: 74 records
2025-09-04 18:12:29 EST | INFO     | main_processor | main_processor.py:90 | Processing csb...
2025-09-04 18:12:29 EST | INFO     | main_processor | main_processor.py:116 | Successfully processed csb: 22 records
2025-09-04 18:12:29 EST | INFO     | main_processor | logger_setup.py:141 | Operation process_all_sources completed successfully - sources_processed=4
2025-09-04 18:12:29 EST | INFO     | main_processor | logger_setup.py:126 | Starting combine_data with sources=4
2025-09-04 18:12:29 EST | INFO     | main_processor | logger_setup.py:141 | Operation combine_data completed successfully - total_records=441
2025-09-04 18:12:29 EST | INFO     | main_processor | logger_setup.py:126 | Starting generate_reports
2025-09-04 18:12:29 EST | INFO     | main_processor | logger_setup.py:141 | Operation generate_reports completed successfully - reports_generated=2
2025-09-04 18:12:29 EST | INFO     | main_processor | logger_setup.py:126 | Starting export_data with formats=['csv', 'excel']
2025-09-04 18:12:29 EST | INFO     | main_processor | logger_setup.py:141 | Operation export_data completed successfully - files_exported=2
2025-09-04 18:12:29 EST | INFO     | main_processor | main_processor.py:316 | Processing completed successfully
2025-10-09 20:51:47 EST | INFO     | main_processor | logger_setup.py:94 | Logger 'main_processor' initialized - Log file: C:\Users\carucci_r\OneDrive - City of Hackensack\02_ETL_Scripts\Community_Engagment\logs\main_processor.log
2025-10-09 20:51:47 EST | INFO     | main_processor | logger_setup.py:95 | Log rotation: 10,485,760 bytes, 5 backups
2025-10-09 20:51:47 EST | INFO     | main_processor | logger_setup.py:126 | Starting process_all_sources with sources=4
