2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Start' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'End' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Beat' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Location' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Officers' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Citizens' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Details' not found in data
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation standardize_columns completed successfully - renamed_columns=1
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting calculate_duration with start_col=start_time, end_col=end_time
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation calculate_duration completed successfully - calculated=0
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting validate_data with required_fields=3, rows=74
2025-09-04 16:48:49 EST | ERROR    | community_engagement_etl.processors.excel_processor | excel_processor.py:215 | Missing required columns: ['beat']
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.patrol_processor | patrol_processor.py:78 | Processing complete: 0 valid rows
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.csb_processor | csb_processor.py:56 | Processing CSB data from C:\Users\carucci_r\OneDrive - City of Hackensack\Shared Folder\Compstat\Contributions\CSB\csb_monthly.xlsm
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting read_excel_source with file=C:\Users\carucci_r\OneDrive - City of Hackensack\Shared Folder\Compstat\Contributions\CSB\csb_monthly.xlsm, sheet=CSB_CommOut 
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation read_excel_source completed successfully - rows=1, columns=7
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting standardize_columns with mapping_count=9
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Program Name' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Program Date' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Start Time' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'End Time' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Venue' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Staff' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Volunteers' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Participants' not found in data
2025-09-04 16:48:49 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Program Notes' not found in data
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation standardize_columns completed successfully - renamed_columns=0
